serie_folder	set_folder	branch_name	card_count	path_count	paths_json	serie_id	set_id	pr_status	pr_url
Base	Base Set	pr/Base-Base-Set	4	4	["data/Base/Base Set/40.ts", "data/Base/Base Set/8.ts", "data/Base/Base Set/81.ts", "data/Base/Base Set/96.ts"]	base	base1	pending	
Base	Team Rocket	pr/Base-Team-Rocket	4	4	["data/Base/Team Rocket/17.ts", "data/Base/Team Rocket/80.ts", "data/Base/Team Rocket/81.ts", "data/Base/Team Rocket/82.ts"]	base	base5	pending	
Base	Wizards Black Star Promos	pr/Base-Wizards-Black-Star-Promos	53	53	["data/Base/Wizards Black Star Promos/1.ts", "data/Base/Wizards Black Star Promos/10.ts", "data/Base/Wizards Black Star Promos/11.ts", "data/Base/Wizards Black Star Promos/12.ts", "data/Base/Wizards Black Star Promos/13.ts", "data/Base/Wizards Black Star Promos/14.ts", "data/Base/Wizards Black Star Promos/15.ts", "data/Base/Wizards Black Star Promos/16.ts", "data/Base/Wizards Black Star Promos/17.ts", "data/Base/Wizards Black Star Promos/18.ts", "data/Base/Wizards Black Star Promos/19.ts", "data/Base/Wizards Black Star Promos/2.ts", "data/Base/Wizards Black Star Promos/20.ts", "data/Base/Wizards Black Star Promos/21.ts", "data/Base/Wizards Black Star Promos/22.ts", "data/Base/Wizards Black Star Promos/23.ts", "data/Base/Wizards Black Star Promos/24.ts", "data/Base/Wizards Black Star Promos/25.ts", "data/Base/Wizards Black Star Promos/26.ts", "data/Base/Wizards Black Star Promos/27.ts", "data/Base/Wizards Black Star Promos/28.ts", "data/Base/Wizards Black Star Promos/29.ts", "data/Base/Wizards Black Star Promos/3.ts", "data/Base/Wizards Black Star Promos/30.ts", "data/Base/Wizards Black Star Promos/31.ts", "data/Base/Wizards Black Star Promos/32.ts", "data/Base/Wizards Black Star Promos/33.ts", "data/Base/Wizards Black Star Promos/34.ts", "data/Base/Wizards Black Star Promos/35.ts", "data/Base/Wizards Black Star Promos/36.ts", "data/Base/Wizards Black Star Promos/37.ts", "data/Base/Wizards Black Star Promos/38.ts", "data/Base/Wizards Black Star Promos/39.ts", "data/Base/Wizards Black Star Promos/4.ts", "data/Base/Wizards Black Star Promos/40.ts", "data/Base/Wizards Black Star Promos/41.ts", "data/Base/Wizards Black Star Promos/42.ts", "data/Base/Wizards Black Star Promos/43.ts", "data/Base/Wizards Black Star Promos/44.ts", "data/Base/Wizards Black Star Promos/45.ts", "data/Base/Wizards Black Star Promos/46.ts", "data/Base/Wizards Black Star Promos/47.ts", "data/Base/Wizards Black Star Promos/48.ts", "data/Base/Wizards Black Star Promos/49.ts", "data/Base/Wizards Black Star Promos/5.ts", "data/Base/Wizards Black Star Promos/50.ts", "data/Base/Wizards Black Star Promos/51.ts", "data/Base/Wizards Black Star Promos/52.ts", "data/Base/Wizards Black Star Promos/53.ts", "data/Base/Wizards Black Star Promos/6.ts", "data/Base/Wizards Black Star Promos/7.ts", "data/Base/Wizards Black Star Promos/8.ts", "data/Base/Wizards Black Star Promos/9.ts"]	base	basep	pending	
Black & White	BW Black Star Promos	pr/Black-White-BW-Black-Star-Promos	101	101	["data/Black & White/BW Black Star Promos/BW01.ts", "data/Black & White/BW Black Star Promos/BW02.ts", "data/Black & White/BW Black Star Promos/BW03.ts", "data/Black & White/BW Black Star Promos/BW04.ts", "data/Black & White/BW Black Star Promos/BW05.ts", "data/Black & White/BW Black Star Promos/BW06.ts", "data/Black & White/BW Black Star Promos/BW07.ts", "data/Black & White/BW Black Star Promos/BW08.ts", "data/Black & White/BW Black Star Promos/BW09.ts", "data/Black & White/BW Black Star Promos/BW10.ts", "data/Black & White/BW Black Star Promos/BW100.ts", "data/Black & White/BW Black Star Promos/BW101.ts", "data/Black & White/BW Black Star Promos/BW11.ts", "data/Black & White/BW Black Star Promos/BW12.ts", "data/Black & White/BW Black Star Promos/BW13.ts", "data/Black & White/BW Black Star Promos/BW14.ts", "data/Black & White/BW Black Star Promos/BW15.ts", "data/Black & White/BW Black Star Promos/BW16.ts", "data/Black & White/BW Black Star Promos/BW17.ts", "data/Black & White/BW Black Star Promos/BW18.ts", "data/Black & White/BW Black Star Promos/BW19.ts", "data/Black & White/BW Black Star Promos/BW20.ts", "data/Black & White/BW Black Star Promos/BW21.ts", "data/Black & White/BW Black Star Promos/BW22.ts", "data/Black & White/BW Black Star Promos/BW23.ts", "data/Black & White/BW Black Star Promos/BW24.ts", "data/Black & White/BW Black Star Promos/BW25.ts", "data/Black & White/BW Black Star Promos/BW26.ts", "data/Black & White/BW Black Star Promos/BW27.ts", "data/Black & White/BW Black Star Promos/BW28.ts", "data/Black & White/BW Black Star Promos/BW29.ts", "data/Black & White/BW Black Star Promos/BW30.ts", "data/Black & White/BW Black Star Promos/BW31.ts", "data/Black & White/BW Black Star Promos/BW32.ts", "data/Black & White/BW Black Star Promos/BW33.ts", "data/Black & White/BW Black Star Promos/BW34.ts", "data/Black & White/BW Black Star Promos/BW35.ts", "data/Black & White/BW Black Star Promos/BW36.ts", "data/Black & White/BW Black Star Promos/BW37.ts", "data/Black & White/BW Black Star Promos/BW38.ts", "data/Black & White/BW Black Star Promos/BW39.ts", "data/Black & White/BW Black Star Promos/BW40.ts", "data/Black & White/BW Black Star Promos/BW41.ts", "data/Black & White/BW Black Star Promos/BW42.ts", "data/Black & White/BW Black Star Promos/BW43.ts", "data/Black & White/BW Black Star Promos/BW44.ts", "data/Black & White/BW Black Star Promos/BW45.ts", "data/Black & White/BW Black Star Promos/BW46.ts", "data/Black & White/BW Black Star Promos/BW47.ts", "data/Black & White/BW Black Star Promos/BW48.ts", "data/Black & White/BW Black Star Promos/BW49.ts", "data/Black & White/BW Black Star Promos/BW50.ts", "data/Black & White/BW Black Star Promos/BW51.ts", "data/Black & White/BW Black Star Promos/BW52.ts", "data/Black & White/BW Black Star Promos/BW53.ts", "data/Black & White/BW Black Star Promos/BW54.ts", "data/Black & White/BW Black Star Promos/BW55.ts", "data/Black & White/BW Black Star Promos/BW56.ts", "data/Black & White/BW Black Star Promos/BW57.ts", "data/Black & White/BW Black Star Promos/BW58.ts", "data/Black & White/BW Black Star Promos/BW59.ts", "data/Black & White/BW Black Star Promos/BW60.ts", "data/Black & White/BW Black Star Promos/BW61.ts", "data/Black & White/BW Black Star Promos/BW62.ts", "data/Black & White/BW Black Star Promos/BW63.ts", "data/Black & White/BW Black Star Promos/BW64.ts", "data/Black & White/BW Black Star Promos/BW65.ts", "data/Black & White/BW Black Star Promos/BW66.ts", "data/Black & White/BW Black Star Promos/BW67.ts", "data/Black & White/BW Black Star Promos/BW68.ts", "data/Black & White/BW Black Star Promos/BW69.ts", "data/Black & White/BW Black Star Promos/BW70.ts", "data/Black & White/BW Black Star Promos/BW71.ts", "data/Black & White/BW Black Star Promos/BW72.ts", "data/Black & White/BW Black Star Promos/BW73.ts", "data/Black & White/BW Black Star Promos/BW74.ts", "data/Black & White/BW Black Star Promos/BW75.ts", "data/Black & White/BW Black Star Promos/BW76.ts", "data/Black & White/BW Black Star Promos/BW77.ts", "data/Black & White/BW Black Star Promos/BW78.ts", "data/Black & White/BW Black Star Promos/BW79.ts", "data/Black & White/BW Black Star Promos/BW80.ts", "data/Black & White/BW Black Star Promos/BW81.ts", "data/Black & White/BW Black Star Promos/BW82.ts", "data/Black & White/BW Black Star Promos/BW83.ts", "data/Black & White/BW Black Star Promos/BW84.ts", "data/Black & White/BW Black Star Promos/BW85.ts", "data/Black & White/BW Black Star Promos/BW86.ts", "data/Black & White/BW Black Star Promos/BW87.ts", "data/Black & White/BW Black Star Promos/BW88.ts", "data/Black & White/BW Black Star Promos/BW89.ts", "data/Black & White/BW Black Star Promos/BW90.ts", "data/Black & White/BW Black Star Promos/BW91.ts", "data/Black & White/BW Black Star Promos/BW92.ts", "data/Black & White/BW Black Star Promos/BW93.ts", "data/Black & White/BW Black Star Promos/BW94.ts", "data/Black & White/BW Black Star Promos/BW95.ts", "data/Black & White/BW Black Star Promos/BW96.ts", "data/Black & White/BW Black Star Promos/BW97.ts", "data/Black & White/BW Black Star Promos/BW98.ts", "data/Black & White/BW Black Star Promos/BW99.ts"]	bw	bwp	pending	
Black & White	Legendary Treasures	pr/Black-White-Legendary-Treasures	0	1	["data/Black & White/Legendary Treasures.ts"]	bw	bw11	pending	
Black & White	Radiant Collection	pr/Black-White-Radiant-Collection	0	1	["data/Black & White/Radiant Collection.ts"]	bw		pending	
Call of Legends	Call of Legends	pr/Call-of-Legends-Call-of-Legends	9	9	["data/Call of Legends/Call of Legends/76.ts", "data/Call of Legends/Call of Legends/77.ts", "data/Call of Legends/Call of Legends/78.ts", "data/Call of Legends/Call of Legends/79.ts", "data/Call of Legends/Call of Legends/82.ts", "data/Call of Legends/Call of Legends/83.ts", "data/Call of Legends/Call of Legends/85.ts", "data/Call of Legends/Call of Legends/86.ts", "data/Call of Legends/Call of Legends/87.ts"]	col	col1	pending	
Diamond & Pearl	DP Black Star Promos	pr/Diamond-Pearl-DP-Black-Star-Promos	56	56	["data/Diamond & Pearl/DP Black Star Promos/DP01.ts", "data/Diamond & Pearl/DP Black Star Promos/DP02.ts", "data/Diamond & Pearl/DP Black Star Promos/DP03.ts", "data/Diamond & Pearl/DP Black Star Promos/DP04.ts", "data/Diamond & Pearl/DP Black Star Promos/DP05.ts", "data/Diamond & Pearl/DP Black Star Promos/DP06.ts", "data/Diamond & Pearl/DP Black Star Promos/DP07.ts", "data/Diamond & Pearl/DP Black Star Promos/DP08.ts", "data/Diamond & Pearl/DP Black Star Promos/DP09.ts", "data/Diamond & Pearl/DP Black Star Promos/DP10.ts", "data/Diamond & Pearl/DP Black Star Promos/DP11.ts", "data/Diamond & Pearl/DP Black Star Promos/DP12.ts", "data/Diamond & Pearl/DP Black Star Promos/DP13.ts", "data/Diamond & Pearl/DP Black Star Promos/DP14.ts", "data/Diamond & Pearl/DP Black Star Promos/DP15.ts", "data/Diamond & Pearl/DP Black Star Promos/DP16.ts", "data/Diamond & Pearl/DP Black Star Promos/DP17.ts", "data/Diamond & Pearl/DP Black Star Promos/DP18.ts", "data/Diamond & Pearl/DP Black Star Promos/DP19.ts", "data/Diamond & Pearl/DP Black Star Promos/DP20.ts", "data/Diamond & Pearl/DP Black Star Promos/DP21.ts", "data/Diamond & Pearl/DP Black Star Promos/DP22.ts", "data/Diamond & Pearl/DP Black Star Promos/DP23.ts", "data/Diamond & Pearl/DP Black Star Promos/DP24.ts", "data/Diamond & Pearl/DP Black Star Promos/DP25.ts", "data/Diamond & Pearl/DP Black Star Promos/DP26.ts", "data/Diamond & Pearl/DP Black Star Promos/DP27.ts", "data/Diamond & Pearl/DP Black Star Promos/DP28.ts", "data/Diamond & Pearl/DP Black Star Promos/DP29.ts", "data/Diamond & Pearl/DP Black Star Promos/DP30.ts", "data/Diamond & Pearl/DP Black Star Promos/DP31.ts", "data/Diamond & Pearl/DP Black Star Promos/DP32.ts", "data/Diamond & Pearl/DP Black Star Promos/DP33.ts", "data/Diamond & Pearl/DP Black Star Promos/DP34.ts", "data/Diamond & Pearl/DP Black Star Promos/DP35.ts", "data/Diamond & Pearl/DP Black Star Promos/DP36.ts", "data/Diamond & Pearl/DP Black Star Promos/DP37.ts", "data/Diamond & Pearl/DP Black Star Promos/DP38.ts", "data/Diamond & Pearl/DP Black Star Promos/DP39.ts", "data/Diamond & Pearl/DP Black Star Promos/DP40.ts", "data/Diamond & Pearl/DP Black Star Promos/DP41.ts", "data/Diamond & Pearl/DP Black Star Promos/DP42.ts", "data/Diamond & Pearl/DP Black Star Promos/DP43.ts", "data/Diamond & Pearl/DP Black Star Promos/DP44.ts", "data/Diamond & Pearl/DP Black Star Promos/DP45.ts", "data/Diamond & Pearl/DP Black Star Promos/DP46.ts", "data/Diamond & Pearl/DP Black Star Promos/DP47.ts", "data/Diamond & Pearl/DP Black Star Promos/DP48.ts", "data/Diamond & Pearl/DP Black Star Promos/DP49.ts", "data/Diamond & Pearl/DP Black Star Promos/DP50.ts", "data/Diamond & Pearl/DP Black Star Promos/DP51.ts", "data/Diamond & Pearl/DP Black Star Promos/DP52.ts", "data/Diamond & Pearl/DP Black Star Promos/DP53.ts", "data/Diamond & Pearl/DP Black Star Promos/DP54.ts", "data/Diamond & Pearl/DP Black Star Promos/DP55.ts", "data/Diamond & Pearl/DP Black Star Promos/DP56.ts"]	dp	dpp	pending	
Diamond & Pearl	Diamond & Pearl	pr/Diamond-Pearl-Diamond-Pearl	1	1	["data/Diamond & Pearl/Diamond & Pearl/109.ts"]	dp	dp1	pending	
Diamond & Pearl	Great Encounters	pr/Diamond-Pearl-Great-Encounters	2	2	["data/Diamond & Pearl/Great Encounters/100.ts", "data/Diamond & Pearl/Great Encounters/98.ts"]	dp	dp4	pending	
Diamond & Pearl	Legends Awakened	pr/Diamond-Pearl-Legends-Awakened	8	8	["data/Diamond & Pearl/Legends Awakened/130.ts", "data/Diamond & Pearl/Legends Awakened/131.ts", "data/Diamond & Pearl/Legends Awakened/134.ts", "data/Diamond & Pearl/Legends Awakened/135.ts", "data/Diamond & Pearl/Legends Awakened/136.ts", "data/Diamond & Pearl/Legends Awakened/137.ts", "data/Diamond & Pearl/Legends Awakened/138.ts", "data/Diamond & Pearl/Legends Awakened/139.ts"]	dp	dp6	pending	
Diamond & Pearl	Majestic Dawn	pr/Diamond-Pearl-Majestic-Dawn	5	5	["data/Diamond & Pearl/Majestic Dawn/65.ts", "data/Diamond & Pearl/Majestic Dawn/79.ts", "data/Diamond & Pearl/Majestic Dawn/82.ts", "data/Diamond & Pearl/Majestic Dawn/84.ts", "data/Diamond & Pearl/Majestic Dawn/89.ts"]	dp	dp5	pending	
Diamond & Pearl	Mysterious Treasures	pr/Diamond-Pearl-Mysterious-Treasures	10	10	["data/Diamond & Pearl/Mysterious Treasures/109.ts", "data/Diamond & Pearl/Mysterious Treasures/111.ts", "data/Diamond & Pearl/Mysterious Treasures/112.ts", "data/Diamond & Pearl/Mysterious Treasures/114.ts", "data/Diamond & Pearl/Mysterious Treasures/115.ts", "data/Diamond & Pearl/Mysterious Treasures/116.ts", "data/Diamond & Pearl/Mysterious Treasures/117.ts", "data/Diamond & Pearl/Mysterious Treasures/118.ts", "data/Diamond & Pearl/Mysterious Treasures/119.ts", "data/Diamond & Pearl/Mysterious Treasures/120.ts"]	dp	dp2	pending	
Diamond & Pearl	Secret Wonders	pr/Diamond-Pearl-Secret-Wonders	1	1	["data/Diamond & Pearl/Secret Wonders/124.ts"]	dp	dp3	pending	
Diamond & Pearl	Stormfront	pr/Diamond-Pearl-Stormfront	3	3	["data/Diamond & Pearl/Stormfront/82.ts", "data/Diamond & Pearl/Stormfront/87.ts", "data/Diamond & Pearl/Stormfront/97.ts"]	dp	dp7	pending	
