branch_name	release_date	serie_folder	set_folder	card_count	insertions	deletions	net_insertions	new_file_count	localized_additions	is_tcgp	priority_tier	priority_score	excluded_reason
pr/Scarlet-Violet-SVP-Black-Star-Promos	2023-03-31	Scarlet & Violet	SVP Black Star Promos	226	403	274	129	1	35	0	1	549	
pr/Sword-Shield-Celebrations	2021-10-08	Sword & Shield	Celebrations	18	193	101	92	0	70	0	1	670	
pr/Sun-Moon-Cosmic-Eclipse	2019-11-01	Sun & Moon	Cosmic Eclipse	22	59	55	4	0	44	0	1	378	
pr/Sun-Moon-Team-Up	2019-01-31	Sun & Moon	Team Up	19	38	38	0	0	38	0	1	323	
pr/Trainer-kits-XY-trainer-Kit-Latios	2015-04-29	Trainer kits	XY trainer Kit (Latios)	14	296	0	296	0	36	0	1	598	
pr/Trainer-kits-XY-trainer-Kit-Latias	2015-04-29	Trainer kits	XY trainer Kit (Latias)	11	235	36	199	0	33	0	1	474	
pr/Trainer-kits-XY-trainer-Kit-Bisharp	2014-11-01	Trainer kits	XY trainer Kit (Bisharp)	15	288	0	288	0	33	0	1	567	
pr/EX-Power-Keepers	2007-02-17	EX	Power Keepers	15	50	39	11	0	34	0	1	298	
pr/EX-Dragon-Frontiers	2006-11-08	EX	Dragon Frontiers	15	39	24	15	0	32	0	1	286	
pr/E-Card-Aquapolis	2003-01-15	E-Card	Aquapolis	23	121	94	27	0	58	0	1	514	
pr/Scarlet-Violet-Destined-Rivals	2025-05-30	Scarlet & Violet	Destined Rivals	5	10	10	0	0	10	0	2	85	
pr/Scarlet-Violet-Prismatic-Evolutions	2025-01-17	Scarlet & Violet	Prismatic Evolutions	11	22	22	0	0	22	0	2	187	
pr/Scarlet-Violet-Surging-Sparks	2024-11-08	Scarlet & Violet	Surging Sparks	4	8	8	0	0	8	0	2	68	
pr/Scarlet-Violet-Twilight-Masquerade	2024-05-24	Scarlet & Violet	Twilight Masquerade	5	10	10	0	0	10	0	2	85	
pr/Scarlet-Violet-Paradox-Rift	2023-11-03	Scarlet & Violet	Paradox Rift	4	8	8	0	0	8	0	2	68	
pr/Sword-Shield-Battle-Styles	2021-03-19	Sword & Shield	Battle Styles	10	20	20	0	0	20	0	2	170	
pr/Sword-Shield-Vivid-Voltage	2020-11-13	Sword & Shield	Vivid Voltage	7	14	14	0	0	14	0	2	119	
pr/Sword-Shield-Darkness-Ablaze	2020-08-14	Sword & Shield	Darkness Ablaze	5	10	10	0	0	10	0	2	85	
pr/Sword-Shield-Rebel-Clash	2020-05-01	Sword & Shield	Rebel Clash	9	18	18	0	0	18	0	2	153	
pr/Sword-Shield-Sword-Shield	2020-02-07	Sword & Shield	Sword & Shield	5	10	10	0	0	10	0	2	85	
pr/Sword-Shield-SWSH-Black-Star-Promos	2019-11-15	Sword & Shield	SWSH Black Star Promos	287	491	287	204	0	28	0	2	548	
pr/Sun-Moon-Unified-Minds	2019-08-02	Sun & Moon	Unified Minds	7	46	12	34	0	14	0	2	153	
pr/Sun-Moon-Unbroken-Bonds	2019-05-03	Sun & Moon	Unbroken Bonds	11	22	22	0	0	22	0	2	187	
pr/Sun-Moon-Lost-Thunder	2018-11-02	Sun & Moon	Lost Thunder	12	24	24	0	0	24	0	2	204	
pr/Sun-Moon-Dragon-Majesty	2018-09-07	Sun & Moon	Dragon Majesty	7	15	15	0	0	14	0	2	119	
pr/Sun-Moon-Forbidden-Light	2018-05-04	Sun & Moon	Forbidden Light	9	18	18	0	0	18	0	2	153	
pr/Sun-Moon-Ultra-Prism	2018-02-02	Sun & Moon	Ultra Prism	5	10	10	0	0	10	0	2	85	
pr/Sun-Moon-Crimson-Invasion	2017-11-03	Sun & Moon	Crimson Invasion	4	8	8	0	0	8	0	2	68	
pr/Trainer-kits-SM-trainer-Kit-Lycanroc	2017-04-21	Trainer kits	SM trainer Kit (Lycanroc)	10	224	0	224	0	26	0	2	442	
pr/Trainer-kits-SM-trainer-Kit-Alolan-Raichu	2017-04-21	Trainer kits	SM trainer Kit (Alolan Raichu)	6	143	0	143	0	17	0	2	285	
pr/Trainer-kits-XY-trainer-Kit-Pikachu-Libre	2016-04-27	Trainer kits	XY trainer Kit (Pikachu Libre)	10	206	0	206	0	22	0	2	392	
pr/Trainer-kits-XY-trainer-Kit-Suicune	2016-04-27	Trainer kits	XY trainer Kit (Suicune)	11	188	0	188	0	22	0	2	375	
pr/XY-BREAKpoint	2016-02-03	XY	BREAKpoint	4	8	8	0	0	8	0	2	68	
pr/XY-BREAKthrough	2015-11-04	XY	BREAKthrough	4	8	8	0	0	8	0	2	68	
pr/XY-Double-Crisis	2015-03-25	XY	Double Crisis	4	34	26	8	0	10	0	2	92	
pr/XY-Primal-Clash	2015-02-04	XY	Primal Clash	8	16	16	0	0	16	0	2	136	
pr/Trainer-kits-XY-trainer-Kit-Wigglytuff	2014-11-01	Trainer kits	XY trainer Kit (Wigglytuff)	13	222	0	222	0	27	0	2	451	
pr/Trainer-kits-XY-trainer-Kit-Sylveon	2014-03-12	Trainer kits	XY trainer Kit (Sylveon)	10	194	0	194	0	22	0	2	380	
pr/Trainer-kits-XY-trainer-Kit-Noivern	2014-03-12	Trainer kits	XY trainer Kit (Noivern)	6	67	0	67	0	9	0	2	145	
pr/Trainer-kits-BW-trainer-Kit-Excadrill	2011-09-01	Trainer kits	BW trainer Kit (Excadrill)	7	117	71	46	0	16	0	2	181	
pr/Call-of-Legends-Call-of-Legends	2011-02-09	Call of Legends	Call of Legends	9	18	9	9	0	18	0	2	162	
pr/HeartGold-SoulSilver-Triumphant	2010-11-03	HeartGold & SoulSilver	Triumphant	4	82	45	37	0	16	0	2	169	
pr/HeartGold-SoulSilver-Undaunted	2010-08-18	HeartGold & SoulSilver	Undaunted	4	56	26	30	0	9	0	2	106	
pr/HeartGold-SoulSilver-Unleashed	2010-05-12	HeartGold & SoulSilver	Unleashed	6	125	68	57	0	24	0	2	255	
pr/HeartGold-SoulSilver-HGSS-Black-Star-Promos	2010-02-11	HeartGold & SoulSilver	HGSS Black Star Promos	27	145	25	120	2	0	0	2	187	
pr/HeartGold-SoulSilver-HeartGold-SoulSilver	2010-02-10	HeartGold & SoulSilver	HeartGold SoulSilver	2	55	20	35	0	12	0	2	133	
pr/Platinum-Supreme-Victors	2009-08-19	Platinum	Supreme Victors	5	10	10	0	0	10	0	2	85	
pr/Platinum-Rising-Rivals	2009-05-16	Platinum	Rising Rivals	11	36	30	6	0	24	0	2	209	
pr/Platinum-Platinum	2009-02-11	Platinum	Platinum	5	30	24	6	0	14	0	2	123	
pr/Diamond-Pearl-Stormfront	2008-11-01	Diamond & Pearl	Stormfront	3	15	6	9	0	8	0	2	76	
pr/Diamond-Pearl-Legends-Awakened	2008-08-01	Diamond & Pearl	Legends Awakened	8	54	42	12	0	24	0	2	212	
pr/Diamond-Pearl-Majestic-Dawn	2008-05-01	Diamond & Pearl	Majestic Dawn	5	56	43	13	0	20	0	2	178	
pr/Trainer-kits-DP-trainer-Kit-Lucario	2007-09-01	Trainer kits	DP trainer Kit (Lucario)	5	51	21	30	0	15	0	2	155	
pr/Diamond-Pearl-Mysterious-Treasures	2007-08-01	Diamond & Pearl	Mysterious Treasures	10	40	31	9	0	24	0	2	211	
