branch_name	release_date	serie_folder	set_folder	card_count	priority_tier	priority_score	localized_additions	net_insertions	excluded_reason
pr/Scarlet-Violet-SVP-Black-Star-Promos	2023-03-31	Scarlet & Violet	SVP Black Star Promos	226	1	549	35	129	
pr/Sword-Shield-Celebrations	2021-10-08	Sword & Shield	Celebrations	18	1	670	70	92	
pr/Sun-Moon-Cosmic-Eclipse	2019-11-01	Sun & Moon	Cosmic Eclipse	22	1	378	44	4	
pr/Sun-Moon-Team-Up	2019-01-31	Sun & Moon	Team Up	19	1	323	38	0	
pr/Trainer-kits-XY-trainer-Kit-Latios	2015-04-29	Trainer kits	XY trainer Kit (Latios)	14	1	598	36	296	
pr/Trainer-kits-XY-trainer-Kit-Latias	2015-04-29	Trainer kits	XY trainer Kit (Latias)	11	1	474	33	199	
pr/Trainer-kits-XY-trainer-Kit-Bisharp	2014-11-01	Trainer kits	XY trainer Kit (Bisharp)	15	1	567	33	288	
pr/EX-Power-Keepers	2007-02-17	EX	Power Keepers	15	1	298	34	11	
pr/EX-Dragon-Frontiers	2006-11-08	EX	Dragon Frontiers	15	1	286	32	15	
pr/E-Card-Aquapolis	2003-01-15	E-Card	Aquapolis	23	1	514	58	27	
pr/Scarlet-Violet-Destined-Rivals	2025-05-30	Scarlet & Violet	Destined Rivals	5	2	85	10	0	
pr/Scarlet-Violet-Prismatic-Evolutions	2025-01-17	Scarlet & Violet	Prismatic Evolutions	11	2	187	22	0	
pr/Scarlet-Violet-Surging-Sparks	2024-11-08	Scarlet & Violet	Surging Sparks	4	2	68	8	0	
pr/Scarlet-Violet-Twilight-Masquerade	2024-05-24	Scarlet & Violet	Twilight Masquerade	5	2	85	10	0	
pr/Scarlet-Violet-Paradox-Rift	2023-11-03	Scarlet & Violet	Paradox Rift	4	2	68	8	0	
pr/Sword-Shield-Battle-Styles	2021-03-19	Sword & Shield	Battle Styles	10	2	170	20	0	
pr/Sword-Shield-Vivid-Voltage	2020-11-13	Sword & Shield	Vivid Voltage	7	2	119	14	0	
pr/Sword-Shield-Darkness-Ablaze	2020-08-14	Sword & Shield	Darkness Ablaze	5	2	85	10	0	
pr/Sword-Shield-Rebel-Clash	2020-05-01	Sword & Shield	Rebel Clash	9	2	153	18	0	
pr/Sword-Shield-Sword-Shield	2020-02-07	Sword & Shield	Sword & Shield	5	2	85	10	0	
pr/Sword-Shield-SWSH-Black-Star-Promos	2019-11-15	Sword & Shield	SWSH Black Star Promos	287	2	548	28	204	
pr/Sun-Moon-Unified-Minds	2019-08-02	Sun & Moon	Unified Minds	7	2	153	14	34	
pr/Sun-Moon-Unbroken-Bonds	2019-05-03	Sun & Moon	Unbroken Bonds	11	2	187	22	0	
pr/Sun-Moon-Lost-Thunder	2018-11-02	Sun & Moon	Lost Thunder	12	2	204	24	0	
pr/Sun-Moon-Dragon-Majesty	2018-09-07	Sun & Moon	Dragon Majesty	7	2	119	14	0	
pr/Sun-Moon-Forbidden-Light	2018-05-04	Sun & Moon	Forbidden Light	9	2	153	18	0	
pr/Sun-Moon-Ultra-Prism	2018-02-02	Sun & Moon	Ultra Prism	5	2	85	10	0	
pr/Sun-Moon-Crimson-Invasion	2017-11-03	Sun & Moon	Crimson Invasion	4	2	68	8	0	
pr/Trainer-kits-SM-trainer-Kit-Lycanroc	2017-04-21	Trainer kits	SM trainer Kit (Lycanroc)	10	2	442	26	224	
pr/Trainer-kits-SM-trainer-Kit-Alolan-Raichu	2017-04-21	Trainer kits	SM trainer Kit (Alolan Raichu)	6	2	285	17	143	
pr/Trainer-kits-XY-trainer-Kit-Pikachu-Libre	2016-04-27	Trainer kits	XY trainer Kit (Pikachu Libre)	10	2	392	22	206	
pr/Trainer-kits-XY-trainer-Kit-Suicune	2016-04-27	Trainer kits	XY trainer Kit (Suicune)	11	2	375	22	188	
pr/XY-BREAKpoint	2016-02-03	XY	BREAKpoint	4	2	68	8	0	
pr/XY-BREAKthrough	2015-11-04	XY	BREAKthrough	4	2	68	8	0	
pr/XY-Double-Crisis	2015-03-25	XY	Double Crisis	4	2	92	10	8	
pr/XY-Primal-Clash	2015-02-04	XY	Primal Clash	8	2	136	16	0	
pr/Trainer-kits-XY-trainer-Kit-Wigglytuff	2014-11-01	Trainer kits	XY trainer Kit (Wigglytuff)	13	2	451	27	222	
pr/Trainer-kits-XY-trainer-Kit-Sylveon	2014-03-12	Trainer kits	XY trainer Kit (Sylveon)	10	2	380	22	194	
pr/Trainer-kits-XY-trainer-Kit-Noivern	2014-03-12	Trainer kits	XY trainer Kit (Noivern)	6	2	145	9	67	
pr/Trainer-kits-BW-trainer-Kit-Excadrill	2011-09-01	Trainer kits	BW trainer Kit (Excadrill)	7	2	181	16	46	
pr/Call-of-Legends-Call-of-Legends	2011-02-09	Call of Legends	Call of Legends	9	2	162	18	9	
pr/HeartGold-SoulSilver-Triumphant	2010-11-03	HeartGold & SoulSilver	Triumphant	4	2	169	16	37	
pr/HeartGold-SoulSilver-Undaunted	2010-08-18	HeartGold & SoulSilver	Undaunted	4	2	106	9	30	
pr/HeartGold-SoulSilver-Unleashed	2010-05-12	HeartGold & SoulSilver	Unleashed	6	2	255	24	57	
pr/HeartGold-SoulSilver-HGSS-Black-Star-Promos	2010-02-11	HeartGold & SoulSilver	HGSS Black Star Promos	27	2	187	0	120	
